method,block_size,matrix_a_shape,matrix_b_shape,time_seconds,gflops
hybrid_parallel,block_32,3072x3072,3072x3072,2.782664,20.837
hybrid_transposed,block_32,3072x3072,3072x3072,1.511958,38.349
hybrid_parallel,block_32,3072x1536,1536x3072,1.609973,18.007
hybrid_transposed,block_32,3072x1536,1536x3072,0.786929,36.841
hybrid_parallel,block_64,3072x3072,3072x3072,2.719424,21.321
hybrid_transposed,block_64,3072x3072,3072x3072,1.440038,40.264
hybrid_parallel,block_64,3072x1536,1536x3072,1.559327,18.592
hybrid_transposed,block_64,3072x1536,1536x3072,0.650960,44.536
hybrid_parallel,block_128,3072x3072,3072x3072,2.659722,21.800
hybrid_transposed,block_128,3072x3072,3072x3072,1.375944,42.140
hybrid_parallel,block_128,3072x1536,1536x3072,1.557501,18.614
hybrid_transposed,block_128,3072x1536,1536x3072,0.654666,44.284
hybrid_parallel,block_256,3072x3072,3072x3072,2.664151,21.764
hybrid_transposed,block_256,3072x3072,3072x3072,1.386994,41.804
hybrid_parallel,block_256,3072x1536,1536x3072,1.555465,18.638
hybrid_transposed,block_256,3072x1536,1536x3072,0.658908,43.999
hybrid_parallel,block_512,3072x3072,3072x3072,2.679168,21.642
hybrid_transposed,block_512,3072x3072,3072x3072,1.393204,41.618
hybrid_parallel,block_512,3072x1536,1536x3072,1.574236,18.416
hybrid_transposed,block_512,3072x1536,1536x3072,0.671652,43.164
hybrid_parallel,block_8,4096x4096,4096x4096,8.604015,15.974
hybrid_transposed,block_8,4096x4096,4096x4096,3.342235,41.122
hybrid_parallel,block_8,4096x2048,2048x4096,4.876742,14.091
hybrid_transposed,block_8,4096x2048,2048x4096,1.602706,42.877
hybrid_parallel,block_16,4096x4096,4096x4096,8.607386,15.968
hybrid_transposed,block_16,4096x4096,4096x4096,3.367621,40.812
hybrid_parallel,block_16,4096x2048,2048x4096,4.757501,14.444
hybrid_transposed,block_16,4096x2048,2048x4096,1.586548,43.314
hybrid_parallel,block_32,4096x4096,4096x4096,14.043339,9.787
hybrid_transposed,block_32,4096x4096,4096x4096,4.520188,30.406
hybrid_parallel,block_32,4096x2048,2048x4096,7.558417,9.092
hybrid_transposed,block_32,4096x2048,2048x4096,2.260157,30.405
hybrid_parallel,block_64,4096x4096,4096x4096,8.764333,15.682
hybrid_transposed,block_64,4096x4096,4096x4096,3.124094,43.993
hybrid_parallel,block_64,4096x2048,2048x4096,4.188405,16.407
hybrid_transposed,block_64,4096x2048,2048x4096,1.438102,47.785
hybrid_parallel,block_128,4096x4096,4096x4096,7.761520,17.708
hybrid_transposed,block_128,4096x4096,4096x4096,3.025997,45.419
hybrid_parallel,block_128,4096x2048,2048x4096,4.283524,16.043
hybrid_transposed,block_128,4096x2048,2048x4096,1.491440,46.076
hybrid_parallel,block_256,4096x4096,4096x4096,8.037848,17.099
hybrid_transposed,block_256,4096x4096,4096x4096,3.108606,44.212
hybrid_parallel,block_256,4096x2048,2048x4096,4.390118,15.653
hybrid_transposed,block_256,4096x2048,2048x4096,1.521558,45.164
hybrid_parallel,block_512,4096x4096,4096x4096,8.002268,17.175
hybrid_transposed,block_512,4096x4096,4096x4096,3.149070,43.644
hybrid_parallel,block_512,4096x2048,2048x4096,4.394067,15.639
hybrid_transposed,block_512,4096x2048,2048x4096,1.541394,44.583
